
2025/02/06 (20:44:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (22:29:22) | ===> btop++ v.1.4.0
2025/02/08 (22:29:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (22:29:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/08 (22:29:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (11:21:09) | ===> btop++ v.1.4.0
2025/02/11 (11:21:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/11 (11:21:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/11 (11:21:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (08:16:29) | ===> btop++ v.1.4.0
2025/02/25 (08:16:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (08:16:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/25 (08:16:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (08:51:10) | ===> btop++ v.1.4.0
2025/02/25 (08:51:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (08:51:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/25 (08:51:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (10:18:14) | ===> btop++ v.1.4.0
2025/02/25 (10:18:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (10:18:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/25 (10:18:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (15:42:40) | ===> btop++ v.1.4.0
2025/02/25 (15:42:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (15:42:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/25 (15:42:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (17:53:53) | ===> btop++ v.1.4.0
2025/02/25 (17:53:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (17:53:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/25 (17:53:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (11:37:26) | ===> btop++ v.1.4.0
2025/02/26 (11:37:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (11:37:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/26 (11:37:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (11:37:39) | ===> btop++ v.1.4.0
2025/02/26 (11:37:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (11:37:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/26 (11:37:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (11:45:12) | ===> btop++ v.1.4.0
2025/02/26 (11:45:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (11:45:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/26 (11:45:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (12:20:14) | ===> btop++ v.1.4.0
2025/02/27 (12:20:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (12:20:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/27 (12:20:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (12:20:52) | ===> btop++ v.1.4.0
2025/02/27 (12:20:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (12:20:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/27 (12:20:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (12:21:08) | ===> btop++ v.1.4.0
2025/02/27 (12:21:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (12:21:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/27 (12:21:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (12:21:22) | ===> btop++ v.1.4.0
2025/02/27 (12:21:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (12:21:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/27 (12:21:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (12:21:38) | ===> btop++ v.1.4.0
2025/02/27 (12:21:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (12:21:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/27 (12:21:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (12:30:54) | ===> btop++ v.1.4.0
2025/02/27 (12:30:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (12:30:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/27 (12:30:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (09:46:14) | ===> btop++ v.1.4.0
2025/02/28 (09:46:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/28 (09:46:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/28 (09:46:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (16:36:29) | ===> btop++ v.1.4.0
2025/03/04 (16:36:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (16:36:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/04 (16:36:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (10:21:14) | ===> btop++ v.1.4.0
2025/03/10 (10:21:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (10:21:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/10 (10:21:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (09:25:51) | ===> btop++ v.1.4.0
2025/03/11 (09:25:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/11 (09:25:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/11 (09:25:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (09:35:08) | ===> btop++ v.1.4.0
2025/03/18 (09:35:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (09:35:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/18 (09:35:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (10:15:22) | ===> btop++ v.1.4.0
2025/03/18 (10:15:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (10:15:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/18 (10:15:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (10:40:13) | ===> btop++ v.1.4.0
2025/03/18 (10:40:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (10:40:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/18 (10:40:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (11:11:16) | ===> btop++ v.1.4.0
2025/03/18 (11:11:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (11:11:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/18 (11:11:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (13:38:23) | ===> btop++ v.1.4.0
2025/03/18 (13:38:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (13:38:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/18 (13:38:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (13:49:49) | ===> btop++ v.1.4.0
2025/03/18 (13:49:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (13:49:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/18 (13:49:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (13:50:32) | ===> btop++ v.1.4.0
2025/03/18 (13:50:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (13:50:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/18 (13:50:32) | WARNING: Intel GPU: Failed to initialize PMU

